img_idx,psnr_p,ssim_p,tex_p,pdet_p,acc_p,psnr_c,ssim_c,tex_c,pdet_c,acc_c,diff_psnr,diff_ssim,diff_tex,diff_pdet_pp
1119,65.1395,0.999995,0.3090,0.7428,100.00,65.2337,0.999970,0.1229,0.7484,100.00,-0.0942,0.000025,0.1861,0.57
1538,65.1729,0.999935,0.1088,0.0966,100.00,65.1998,0.999795,0.0292,0.2526,100.00,-0.0269,0.000140,0.0795,15.60
1577,65.1931,0.999990,0.2230,0.0037,100.00,65.2816,0.999823,0.0523,0.0215,100.00,-0.0885,0.000168,0.1706,1.77
1663,65.0636,0.999959,0.1406,0.6182,100.00,65.1528,0.999840,0.0367,0.6956,100.00,-0.0892,0.000119,0.1038,7.75
2554,65.1130,0.999985,0.2284,0.1743,100.00,65.1328,0.999824,0.0507,0.3045,100.00,-0.0199,0.000160,0.1777,13.01
2703,65.1931,0.999966,0.1683,0.8100,100.00,65.1196,0.999928,0.0760,0.8100,100.00,0.0735,0.000038,0.0923,-0.00
3758,65.0669,0.999942,0.1494,0.7377,100.00,65.1395,0.999859,0.0545,0.7935,100.00,-0.0726,0.000084,0.0949,5.58
3774,65.0866,0.999984,0.2576,0.8025,100.00,65.1562,0.999940,0.1031,0.8117,100.00,-0.0696,0.000044,0.1545,0.92
4212,65.2167,0.999989,0.2523,0.7620,100.00,65.1495,0.999967,0.1098,0.7619,100.00,0.0672,0.000022,0.1426,-0.00
4976,65.1495,0.999988,0.2625,0.7778,100.00,65.0636,0.999866,0.0656,0.7905,100.00,0.0859,0.000123,0.1969,1.27
5083,65.2100,0.999958,0.1737,0.6779,100.00,65.1696,0.999855,0.0532,0.7399,100.00,0.0404,0.000103,0.1205,6.20
6239,65.0800,0.999872,0.1369,0.1810,100.00,65.0473,0.999776,0.0463,0.3230,100.00,0.0327,0.000095,0.0905,14.21
7037,65.0964,0.999979,0.2436,0.6664,100.00,65.0866,0.999906,0.0941,0.7176,100.00,0.0099,0.000073,0.1495,5.12
8047,65.1763,0.999964,0.1240,0.0600,100.00,65.1964,0.999827,0.0349,0.1600,100.00,-0.0202,0.000137,0.0891,10.00
8258,65.1562,0.999812,0.1730,0.0001,100.00,65.1696,0.999705,0.0458,0.0008,100.00,-0.0134,0.000106,0.1272,0.06
8278,65.2167,0.999837,0.0577,0.0273,100.00,65.1130,0.999725,0.0142,0.0904,100.00,0.1038,0.000112,0.0435,6.31
8441,65.1562,0.999994,0.3135,0.7480,100.00,65.1662,0.999961,0.1423,0.7653,100.00,-0.0100,0.000033,0.1712,1.74
8558,65.2100,0.999981,0.2426,0.1008,100.00,65.1528,0.999812,0.0606,0.2294,100.00,0.0571,0.000169,0.1820,12.86
8681,65.2133,0.999989,0.2349,0.4887,100.00,65.1229,0.999908,0.0829,0.5749,100.00,0.0904,0.000080,0.1520,8.62
8967,64.9316,0.999985,0.1985,0.6555,100.00,65.1495,0.999860,0.0512,0.7327,100.00,-0.2179,0.000125,0.1473,7.72
