img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
3,65.1629,0.999986,0.2058,0.4857,100.00,1298,65.1662,0.999874,0.0594,0.6020,100.00,1297,70.8923,0.999995,0.1733,0.4862,0.00,347,69.9307,0.999996,0.1724,0.4858,0.00,433
40,65.1629,0.999925,0.1190,0.1001,100.00,1298,65.1328,0.999790,0.0277,0.2523,100.00,1307,70.6136,0.999983,0.1061,0.0979,0.00,370,70.2211,0.999985,0.0927,0.0976,0.00,405
44,65.4213,0.999842,0.0822,0.1544,100.00,1223,65.1428,0.999738,0.0248,0.3016,100.00,1304,71.3263,0.999963,0.0842,0.1167,0.00,314,70.4978,0.999964,0.0853,0.1119,0.00,380
70,65.1863,0.999973,0.1471,0.8012,100.00,1291,65.2473,0.999915,0.0569,0.8020,100.00,1273,71.5534,0.999992,0.1103,0.8011,0.00,298,70.8549,0.999994,0.1367,0.8012,0.00,350
169,65.2133,0.999964,0.1181,0.6069,100.00,1283,65.1030,0.999823,0.0332,0.7002,100.00,1316,70.8798,0.999989,0.0977,0.6048,0.00,348,70.3738,0.999993,0.1231,0.6047,0.00,391
191,65.0310,0.999961,0.1740,0.7887,100.00,1338,65.1462,0.999851,0.0559,0.8284,100.00,1303,71.1501,0.999991,0.1676,0.7895,0.00,327,69.5195,0.999992,0.2094,0.7894,0.00,476
274,65.1030,0.999988,0.2530,0.2245,100.00,1316,65.2816,0.999858,0.0704,0.3934,100.00,1263,70.5207,0.999997,0.2196,0.2241,0.00,378,69.9913,0.999997,0.2293,0.2241,0.00,427
332,65.2235,0.999985,0.2116,0.5941,100.00,1280,65.1130,0.999882,0.0553,0.6859,100.00,1313,70.4523,0.999995,0.1907,0.5917,0.00,384,69.5195,0.999996,0.1663,0.5915,0.00,476
408,65.0866,0.999986,0.1814,0.7710,100.00,1321,65.1196,0.999927,0.0632,0.7933,100.00,1311,70.6371,0.999995,0.1462,0.7615,0.00,368,69.0040,0.999996,0.1877,0.7616,0.00,536
457,65.1495,0.999892,0.0756,0.0100,100.00,1302,65.2066,0.999747,0.0174,0.0572,100.00,1285,70.5322,0.999987,0.1448,0.0082,0.00,377,68.9157,0.999992,0.1695,0.0081,0.00,547
540,65.2747,0.999954,0.1193,0.0437,100.00,1265,65.1462,0.999784,0.0287,0.1492,100.00,1303,70.1256,0.999989,0.1684,0.0424,0.00,414,68.9556,0.999988,0.1811,0.0421,0.00,542
600,65.1796,0.999916,0.1292,0.5572,100.00,1293,65.0833,0.999795,0.0404,0.6959,100.00,1322,71.2713,0.999975,0.1181,0.5412,0.00,318,70.7933,0.999980,0.1403,0.5342,0.00,355
752,65.0800,0.999994,0.2973,0.7155,100.00,1323,65.2167,0.999978,0.1323,0.7163,100.00,1282,71.2577,0.999998,0.1951,0.7155,0.00,319,70.7326,0.999998,0.2111,0.7155,0.00,360
1062,65.1562,0.999981,0.2430,0.8441,100.00,1300,65.1328,0.999912,0.0875,0.8449,100.00,1307,71.4384,0.999993,0.1649,0.8443,0.00,306,69.6869,0.999993,0.1933,0.8443,0.00,458
