step,update,loss,mean_reward,p_detect,r_detect,r_distort,r_texture,embed_ratio,n_selected,psnr,ssim,capacity_penalty,tex_mean,best_p_detect
256,1,0.334488,1.274381,0.284717,0.569434,-0.000001,0.097034,0.739198,1916.000000,66.463852,0.999999,-0.000000,0.048670,0.284717
512,2,0.304610,1.235953,0.743485,0.513029,-0.000004,0.126704,1.000000,4515.000000,65.053822,0.999996,-0.000000,0.063694,0.284717
768,3,0.298507,1.682816,0.758941,0.482117,-0.000003,0.099253,1.000000,6320.000000,65.146159,0.999997,-0.000000,0.049790,0.284717
1024,4,0.262485,1.317270,0.347125,0.694249,-0.000001,0.164086,1.000000,6788.000000,65.257566,0.999999,-0.000000,0.082791,0.284717
1280,5,0.207787,1.978811,0.781784,0.436432,-0.000002,0.179822,1.000000,6910.000000,65.034289,0.999998,-0.000000,0.090899,0.284717
1536,6,0.180844,1.433577,0.325836,0.651672,-0.000002,0.251715,1.000000,7630.000000,65.053822,0.999998,-0.000000,0.128621,0.284717
1792,7,0.202623,1.370649,0.034718,0.069435,-0.000003,0.265716,1.000000,8103.000000,65.186340,0.999997,-0.000000,0.136124,0.034718
2048,8,0.243927,1.363481,0.784132,0.431736,-0.000004,0.243067,1.000000,7723.000000,65.122890,0.999996,-0.000000,0.124015,0.034718
2304,9,0.192808,1.520640,0.275448,0.550896,-0.000003,0.077778,1.000000,6921.000000,65.122890,0.999997,-0.000000,0.038968,0.034718
2560,10,0.313669,1.387665,0.719949,0.560102,-0.000006,0.120922,1.000000,7619.000000,65.182978,0.999994,-0.000000,0.060758,0.034718
2816,11,0.304592,1.878775,0.396301,0.792602,-0.000002,0.042986,1.000000,7194.000000,65.223503,0.999998,-0.000000,0.021506,0.034718
3072,12,0.338812,1.365622,0.750229,0.499542,-0.000004,0.113027,1.000000,7694.000000,65.070168,0.999996,-0.000000,0.056756,0.034718
3328,13,0.284532,1.640229,0.561974,0.876052,-0.000002,0.128429,1.000000,7801.000000,64.944276,0.999998,-0.000000,0.064571,0.034718
3584,14,0.235445,1.303566,0.762049,0.475901,-0.000004,0.101409,1.000000,7128.000000,65.274698,0.999996,-0.000000,0.050879,0.034718
3840,15,0.285122,1.600094,0.729464,0.541073,-0.000005,0.147566,1.000000,6840.000000,65.047301,0.999995,-0.000000,0.074326,0.034718
4096,16,0.181498,1.461228,0.858954,0.282092,-0.000014,0.247797,1.000000,7266.000000,65.237096,0.999986,-0.000000,0.126532,0.034718
4352,17,0.267422,1.656947,0.425118,0.850235,-0.000004,0.172171,1.000000,6654.000000,65.196444,0.999996,-0.000000,0.086951,0.034718
4608,18,0.254533,1.509997,0.339045,0.678090,-0.000004,0.120613,1.000000,7543.000000,65.122890,0.999996,-0.000000,0.060601,0.034718
4864,19,0.139936,1.480741,0.716584,0.566832,-0.000002,0.171323,1.000000,7901.000000,65.156169,0.999998,-0.000000,0.086514,0.034718
5120,20,0.240563,1.578700,0.949395,0.101210,-0.000002,0.573255,1.000000,7654.000000,65.057086,0.999998,-0.000000,0.326179,0.034718
